date,station,mean
6/3/2017,48324,1007.41
7/3/2017,48324,1007.45
8/3/2017,48324,1007.28
9/3/2017,48324,1007.13
10/3/2017,48324,1007.92
11/3/2017,48324,1008.17
12/3/2017,48324,1008.63
13/3/2017,48324,1008.87
14/3/2017,48324,1008.41
15/3/2017,48324,1008.28
16/3/2017,48324,1006.75
17/3/2017,48324,1007.66
18/3/2017,48324,1009.12
19/3/2017,48324,1009.79
20/3/2017,48324,1009.08
21/3/2017,48324,1008.88
22/3/2017,48324,1007.98
23/3/2017,48324,1008.32
24/3/2017,48324,1008.22
25/3/2017,48324,1009.38
26/3/2017,48324,1009.48
27/3/2017,48324,1013.5
28/3/2017,48324,1012.15
29/3/2017,48324,1010.49
30/3/2017,48324,1010.73
31/3/2017,48324,1009.84
1/4/2017,48324,1010.79
2/4/2017,48324,1013.05
3/4/2017,48324,1012.23
4/4/2017,48324,1010.79
5/4/2017,48324,1009
6/4/2017,48324,1007.3
7/4/2017,48324,1006.98
8/4/2017,48324,1007.26
9/4/2017,48324,1006.4
10/4/2017,48324,1005.54
11/4/2017,48324,1005.02
12/4/2017,48324,1005.42
13/4/2017,48324,1008.86
14/4/2017,48324,1011.3
15/4/2017,48324,1010.08
16/4/2017,48324,1008.65
17/4/2017,48324,1009.08
18/4/2017,48324,1008.54
19/4/2017,48324,1007.25
20/4/2017,48324,1007.43
21/4/2017,48324,1007.56
22/4/2017,48324,1007.13
23/4/2017,48324,1007.44
24/4/2017,48324,1007.38
25/4/2017,48324,1007.33
26/4/2017,48324,1007.39
27/4/2017,48324,1007.68
28/4/2017,48324,1008.74
29/4/2017,48324,1010.78
30/4/2017,48324,1009.56
1/5/2017,48324,1009.33
2/5/2017,48324,1008.42
3/5/2017,48324,1007.94
4/5/2017,48324,1008.03
5/5/2017,48324,1010.57
6/5/2017,48324,1011.22
7/5/2017,48324,1010.64
8/5/2017,48324,1009.28
9/5/2017,48324,1007.34
10/5/2017,48324,1009.41
11/5/2017,48324,1009.82
12/5/2017,48324,1009.12
13/5/2017,48324,1008.22
14/5/2017,48324,1007.59
15/5/2017,48324,1006.08
16/5/2017,48324,1005.76
17/5/2017,48324,1005.01
18/5/2017,48324,1005.91
19/5/2017,48324,1006.77
20/5/2017,48324,1004.84
21/5/2017,48324,1003.74
22/5/2017,48324,1004.27
23/5/2017,48324,1005.04
24/5/2017,48324,1005.39
25/5/2017,48324,1005.48
26/5/2017,48324,1006.59
27/5/2017,48324,1006.51
28/5/2017,48324,1006
29/5/2017,48324,1006.41
30/5/2017,48324,1006.87
31/5/2017,48324,1007.7
1/6/2017,48324,1006.72
2/6/2017,48324,1006.64
3/6/2017,48324,1006.47
4/6/2017,48324,1005.49
5/6/2017,48324,1004.92
6/6/2017,48324,1005.18
7/6/2017,48324,1006.01
8/6/2017,48324,1005.51
9/6/2017,48324,1005.57
10/6/2017,48324,1006.79
11/6/2017,48324,1007.43
12/6/2017,48324,1007.23
13/6/2017,48324,1007.46
14/6/2017,48324,1008.13
15/6/2017,48324,1008.91
16/6/2017,48324,1008.56
17/6/2017,48324,1006.52
18/6/2017,48324,1005.04
19/6/2017,48324,1005.58
20/6/2017,48324,1006.34
21/6/2017,48324,1005.98
22/6/2017,48324,1006.04
23/6/2017,48324,1005.1
24/6/2017,48324,1004.1
25/6/2017,48324,1004.4
26/6/2017,48324,1005.65
27/6/2017,48324,1005.85
28/6/2017,48324,1006.64
29/6/2017,48324,1006.55
30/6/2017,48324,1006.09
1/7/2017,48324,1006.52
2/7/2017,48324,1007.18
3/7/2017,48324,1006.79
4/7/2017,48324,1007.01
5/7/2017,48324,1007.38
6/7/2017,48324,1006.74
7/7/2017,48324,1006.58
8/7/2017,48324,1007.27
9/7/2017,48324,1008.35
10/7/2017,48324,1008.32
11/7/2017,48324,1006.5
12/7/2017,48324,1006.7
13/7/2017,48324,1006.63
14/7/2017,48324,1005.78
15/7/2017,48324,1005.18
16/7/2017,48324,1003.53
17/7/2017,48324,1002.56
18/7/2017,48324,1006.41
19/7/2017,48324,1007.49
20/7/2017,48324,1006.14
21/7/2017,48324,1006.1
22/7/2017,48324,1007.43
23/7/2017,48324,1007.55
24/7/2017,48324,1005.96
25/7/2017,48324,1003.87
26/7/2017,48324,1003.07
27/7/2017,48324,1003.08
28/7/2017,48324,1004.8
29/7/2017,48324,1004.86
30/7/2017,48324,1003.79
31/7/2017,48324,1004.7
1/8/2017,48324,1005.44
2/8/2017,48324,1004.81
3/8/2017,48324,1003.03
4/8/2017,48324,1002.26
5/8/2017,48324,1003.06
6/8/2017,48324,1006.54
7/8/2017,48324,1008.4
8/8/2017,48324,1008.13
9/8/2017,48324,1008.42
10/8/2017,48324,1007.56
11/8/2017,48324,1007.61
12/8/2017,48324,1007.71
13/8/2017,48324,1008.15
14/8/2017,48324,1007.78
15/8/2017,48324,1006.61
16/8/2017,48324,1005.53
17/8/2017,48324,1005.33
18/8/2017,48324,1007.15
19/8/2017,48324,1007.67
20/8/2017,48324,1006.5
21/8/2017,48324,1005.35
22/8/2017,48324,1005.16
23/8/2017,48324,1004.79
24/8/2017,48324,1004.54
25/8/2017,48324,1005.06
26/8/2017,48324,1004.78
27/8/2017,48324,1004.71
28/8/2017,48324,1005.12
29/8/2017,48324,1005.98
30/8/2017,48324,1007.03
31/8/2017,48324,1007.96
1/9/2017,48324,1007.69
2/9/2017,48324,1006.9
3/9/2017,48324,1006.34
4/9/2017,48324,1006.14
5/9/2017,48324,1006.91
6/9/2017,48324,1007.37
7/9/2017,48324,1008.46
8/9/2017,48324,1008.75
9/9/2017,48324,1008.05
10/9/2017,48324,1008.91
11/9/2017,48324,1008.99
12/9/2017,48324,1009.98
13/9/2017,48324,1009.09
14/9/2017,48324,1006.72
15/9/2017,48324,1003.7
16/9/2017,48324,1004.03
17/9/2017,48324,1008.96
18/9/2017,48324,1010.38
19/9/2017,48324,1009.18
20/9/2017,48324,1007.73
21/9/2017,48324,1006.66
22/9/2017,48324,1007.43
23/9/2017,48324,1008.49
24/9/2017,48324,1007.07
25/9/2017,48324,1005.2
26/9/2017,48324,1006.93
27/9/2017,48324,1008.43
28/9/2017,48324,1008.18
29/9/2017,48324,1008.91
30/9/2017,48324,1010.3
1/10/2017,48324,1009.13
2/10/2017,48324,1007.98
3/10/2017,48324,1007.96
4/10/2017,48324,1008.27
5/10/2017,48324,1009.78
6/10/2017,48324,1009.95
7/10/2017,48324,1009.11
8/10/2017,48324,1008.56
9/10/2017,48324,1007.67
10/10/2017,48324,1004.95
11/10/2017,48324,1006.93
12/10/2017,48324,1008.13
13/10/2017,48324,1007.15
14/10/2017,48324,1006.36
15/10/2017,48324,1005.97
16/10/2017,48324,1005.87
17/10/2017,48324,1007.81
18/10/2017,48324,1010.97
19/10/2017,48324,1011.56
20/10/2017,48324,1011.38
21/10/2017,48324,1010.03
22/10/2017,48324,1009.05
23/10/2017,48324,1009.91
24/10/2017,48324,1012.63
25/10/2017,48324,1014.4
26/10/2017,48324,1013.38
27/10/2017,48324,1011.9
28/10/2017,48324,1011.95
29/10/2017,48324,1013.62
30/10/2017,48324,1014.51
31/10/2017,48324,1014.71
1/11/2017,48324,1013.93
2/11/2017,48324,1011.64
3/11/2017,48324,1011.76
4/11/2017,48324,1013.08
5/11/2017,48324,1013.57
6/11/2017,48324,1012.81
7/11/2017,48324,1012.71
8/11/2017,48324,1012.33
9/11/2017,48324,1011.6
10/11/2017,48324,1011.14
11/11/2017,48324,1010.97
12/11/2017,48324,1009.62
13/11/2017,48324,1008.94
14/11/2017,48324,1009.62
15/11/2017,48324,1010.61
16/11/2017,48324,1011.66
17/11/2017,48324,1010.07
18/11/2017,48324,1008.55
19/11/2017,48324,1009.04
20/11/2017,48324,1010.08
21/11/2017,48324,1010.51
22/11/2017,48324,1010.76
23/11/2017,48324,1010.86
24/11/2017,48324,1012.4
25/11/2017,48324,1014.26
26/11/2017,48324,1014.95
27/11/2017,48324,1013.49
28/11/2017,48324,1013.14
29/11/2017,48324,1013.59
30/11/2017,48324,1012.46
2/12/2017,48324,1012.99
3/12/2017,48324,1012.58
4/12/2017,48324,1012.4
5/12/2017,48324,1013.31
6/12/2017,48324,1012.4
7/12/2017,48324,1012.24
8/12/2017,48324,1013.55
9/12/2017,48324,1013.6
10/12/2017,48324,1013.23
11/12/2017,48324,1011.96
12/12/2017,48324,1011.18
13/12/2017,48324,1010.94
14/12/2017,48324,1011.58
15/12/2017,48324,1012.92
16/12/2017,48324,1014.9
17/12/2017,48324,1016.92
18/12/2017,48324,1018.31
19/12/2017,48324,1019.97
20/12/2017,48324,1021.96
21/12/2017,48324,1021.09
22/12/2017,48324,1016.87
23/12/2017,48324,1013.09
24/12/2017,48324,1013.14
25/12/2017,48324,1013.87
26/12/2017,48324,1014.42
27/12/2017,48324,1015.35
28/12/2017,48324,1016.01
29/12/2017,48324,1015.98
30/12/2017,48324,1014.57
31/12/2017,48324,1013.55
1/1/2018,48324,1012.98
2/1/2018,48324,1012.11
3/1/2018,48324,1011.56
4/1/2018,48324,1010.8
5/1/2018,48324,1009.76
6/1/2018,48324,1008.55
7/1/2018,48324,1009.04
8/1/2018,48324,1010.46
9/1/2018,48324,1011.56
10/1/2018,48324,1012.87
11/1/2018,48324,1014.69
12/1/2018,48324,1018.12
13/1/2018,48324,1017.54
14/1/2018,48324,1015.83
15/1/2018,48324,1013.36
16/1/2018,48324,1011.24
17/1/2018,48324,1010.81
18/1/2018,48324,1010.64
19/1/2018,48324,1011.77
20/1/2018,48324,1011.07
21/1/2018,48324,1010.19
22/1/2018,48324,1009.53
23/1/2018,48324,1009.16
24/1/2018,48324,1007.94
25/1/2018,48324,1007.31
26/1/2018,48324,1007.86
27/1/2018,48324,1008.24
28/1/2018,48324,1008.52
29/1/2018,48324,1009.69
30/1/2018,48324,1009.73
31/1/2018,48324,1010.61
1/2/2018,48324,1011.35
2/2/2018,48324,1013.14
3/2/2018,48324,1014.77
4/2/2018,48324,1014.7
5/2/2018,48324,1015.95
6/2/2018,48324,1014.79
7/2/2018,48324,1012.78
8/2/2018,48324,1011.52
9/2/2018,48324,1010.84
10/2/2018,48324,1012.21
11/2/2018,48324,1013.79
12/2/2018,48324,1015.78
13/2/2018,48324,1016.26
14/2/2018,48324,1014.87
15/2/2018,48324,1012.71
16/2/2018,48324,1011.36
17/2/2018,48324,1009.83
18/2/2018,48324,1009.76
19/2/2018,48324,1010.11
20/2/2018,48324,1009.38
21/2/2018,48324,1008.19
22/2/2018,48324,1008.52
23/2/2018,48324,1011.59
24/2/2018,48324,1012.67
25/2/2018,48324,1010.96
26/2/2018,48324,1010.11
27/2/2018,48324,1010.01
28/2/2018,48324,1009.59
1/3/2018,48324,1008.31
2/3/2018,48324,1007.58
3/3/2018,48324,1007.08
4/3/2018,48324,1008.33
5/3/2018,48324,1008.75
6/3/2018,48324,1008.94
7/3/2018,48324,1008.72
8/3/2018,48324,1009.03
9/3/2018,48324,1011.35
10/3/2018,48324,1013.01
11/3/2018,48324,1011.94
12/3/2018,48324,1010.91
13/3/2018,48324,1009.87
14/3/2018,48324,1008.3
15/3/2018,48324,1008.29
16/3/2018,48324,1008.83
17/3/2018,48324,1009.12
18/3/2018,48324,1009.65
19/3/2018,48324,1008.55
20/3/2018,48324,1007.68
21/3/2018,48324,1008.3
22/3/2018,48324,1008.3
23/3/2018,48324,1009.67
24/3/2018,48324,1010.79
25/3/2018,48324,1011.03
26/3/2018,48324,1010.74
27/3/2018,48324,1010.08
28/3/2018,48324,1008.66
29/3/2018,48324,1007.9
30/3/2018,48324,1008.02
31/3/2018,48324,1009.18
1/4/2018,48324,1010.33
2/4/2018,48324,1009.45
3/4/2018,48324,1009.4
4/4/2018,48324,1007.51
5/4/2018,48324,1007.82
6/4/2018,48324,1007.98
7/4/2018,48324,1013.91
8/4/2018,48324,1015.92
9/4/2018,48324,1011.89
10/4/2018,48324,1009.34
11/4/2018,48324,1007.61
12/4/2018,48324,1006.41
13/4/2018,48324,1007.18
14/4/2018,48324,1006.32
15/4/2018,48324,1006.11
16/4/2018,48324,1008.59
17/4/2018,48324,1010.66
18/4/2018,48324,1010.41
19/4/2018,48324,1008.51
20/4/2018,48324,1007.91
21/4/2018,48324,1007.33
22/4/2018,48324,1006.8
23/4/2018,48324,1005.89
24/4/2018,48324,1005.94
25/4/2018,48324,1005.8
26/4/2018,48324,1007.94
27/4/2018,48324,1011.01
28/4/2018,48324,1012.25
29/4/2018,48324,1010.46
30/4/2018,48324,1009.59
1/5/2018,48324,1010.16
2/5/2018,48324,1010.83
3/5/2018,48324,1010.9
4/5/2018,48324,1010.36
5/5/2018,48324,1010.45
6/5/2018,48324,1009.26
7/5/2018,48324,1007.26
8/5/2018,48324,1006.38
9/5/2018,48324,1007.81
10/5/2018,48324,1008.87
11/5/2018,48324,1009.45
12/5/2018,48324,1009.12
13/5/2018,48324,1009.57
14/5/2018,48324,1009.32
15/5/2018,48324,1007.54
16/5/2018,48324,1006.39
17/5/2018,48324,1006.89
18/5/2018,48324,1006.39
19/5/2018,48324,1006.65
20/5/2018,48324,1006.27
21/5/2018,48324,1006.41
22/5/2018,48324,1009.31
23/5/2018,48324,1008.12
24/5/2018,48324,1007.82
25/5/2018,48324,1007.4
26/5/2018,48324,1007.59
27/5/2018,48324,1008.35
28/5/2018,48324,1009.19
29/5/2018,48324,1008.57
30/5/2018,48324,1008.46
31/5/2018,48324,1009.25
1/6/2018,48324,1008.81
2/6/2018,48324,1007.84
3/6/2018,48324,1005.56
4/6/2018,48324,1005.03
5/6/2018,48324,1005.94
6/6/2018,48324,1006.84
7/6/2018,48324,1005.41
8/6/2018,48324,1004.17
9/6/2018,48324,1004.22
10/6/2018,48324,1005.5
11/6/2018,48324,1005.23
12/6/2018,48324,1006.02
13/6/2018,48324,1004.84
14/6/2018,48324,1004.39
15/6/2018,48324,1003.81
16/6/2018,48324,1002.9
17/6/2018,48324,1002.16
18/6/2018,48324,1001.47
19/6/2018,48324,1002.85
20/6/2018,48324,1005.86
21/6/2018,48324,1007.36
22/6/2018,48324,1007.52
23/6/2018,48324,1006.23
24/6/2018,48324,1005.6
25/6/2018,48324,1005.45
26/6/2018,48324,1006.84
27/6/2018,48324,1008.61
28/6/2018,48324,1008.93
29/6/2018,48324,1006.72
30/6/2018,48324,1005.87
1/7/2018,48324,1006.16
2/7/2018,48324,1005.64
3/7/2018,48324,1005.11
4/7/2018,48324,1004.82
5/7/2018,48324,1003.78
6/7/2018,48324,1003.47
7/7/2018,48324,1003.87
8/7/2018,48324,1003.81
9/7/2018,48324,1004.55
10/7/2018,48324,1004.72
11/7/2018,48324,1003.94
12/7/2018,48324,1003.2
